"건강긍정인지율","shortName","x","y","면적","광역시도","행정구역"
58.3,"서울강남",6,7,39.5,"서울특별시","강남구"
55.4,"서울강동",8,5,24.6,"서울특별시","강동구"
48.1,"서울강북",5,2,23.6,"서울특별시","강북구"
55.5,"서울강서",4,4,41.4,"서울특별시","강서구"
52.3,"서울관악",5,6,29.6,"서울특별시","관악구"
54.1,"서울광진",7,6,17.05,"서울특별시","광진구"
49.4,"서울구로",4,7,20.11,"서울특별시","구로구"
40.3,"서울금천",5,7,13.01,"서울특별시","금천구"
59.9,"서울노원",6,1,35.44,"서울특별시","노원구"
46.7,"서울도봉",5,1,20.8,"서울특별시","도봉구"
43.6,"서울동대문",7,4,14.2,"서울특별시","동대문구"
54.8,"서울동작",5,5,16.36,"서울특별시","동작구"
59.2,"서울마포",5,4,23.87,"서울특별시","마포구"
52,"서울서대문",5,3,17.6,"서울특별시","서대문구"
58.8,"서울서초",6,6,47.04,"서울특별시","서초구"
52.6,"서울성동",7,5,16.85,"서울특별시","성동구"
46.3,"서울성북",6,2,24.57,"서울특별시","성북구"
52.5,"서울송파",8,6,33.9,"서울특별시","송파구"
52,"서울양천",4,5,17.4,"서울특별시","양천구"
47.2,"서울영등포",4,6,24.56,"서울특별시","영등포구"
54.6,"서울용산",6,5,21.87,"서울특별시","용산구"
60.6,"서울은평",4,3,29.7,"서울특별시","은평구"
51.4,"서울종로",6,3,23.9,"서울특별시","종로구"
59.7,"서울중구",6,4,9.96,"서울특별시","중구"
47.2,"서울중랑",8,4,18.5,"서울특별시","중랑구"
57.7,"부산강서",8,18,179.05,"부산광역시","강서구"
54.9,"부산금정",10,15,65.19,"부산광역시","금정구"
49.6,"부산기장",12,16,217.9,"부산광역시","기장군"
41.6,"부산남구",11,19,25.91,"부산광역시","남구"
42.9,"부산동구",10,17,9.77,"부산광역시","동구"
55.2,"부산동래",11,16,16.6,"부산광역시","동래구"
49.7,"부산부산진",10,16,29.7,"부산광역시","부산진구"
42.8,"부산북구",9,16,38.3,"부산광역시","북구"
39.7,"부산사상",9,17,35.8,"부산광역시","사상구"
48.2,"부산사하",9,19,40.89,"부산광역시","사하구"
48.5,"부산서구",9,18,13.67,"부산광역시","서구"
43.7,"부산수영",11,18,10.16,"부산광역시","수영구"
38.7,"부산연제",11,17,12.08,"부산광역시","연제구"
36.8,"부산영도",10,19,13.98,"부산광역시","영도구"
47,"부산중구",10,18,2.8,"부산광역시","중구"
47.2,"부산해운대",12,17,51.44,"부산광역시","해운대구"
41.4,"대구남구",9,14,17.44,"대구광역시","남구"
48.4,"대구달서",8,15,62.3,"대구광역시","달서구"
50.4,"대구달성",9,15,427.03,"대구광역시","달성군"
43.4,"대구동구",11,13,182.35,"대구광역시","동구"
43.3,"대구북구",9,13,95.5,"대구광역시","북구"
39,"대구서구",8,14,17.5,"대구광역시","서구"
57.4,"대구수성",10,14,76.49,"대구광역시","수성구"
50,"대구중구",10,13,7.08,"대구광역시","중구"
44.1,"인천강화",1,3,411.2,"인천광역시","강화군"
47.9,"인천계양",2,5,45.58,"인천광역시","계양구"
46.5,"인천남구",2,7,24.47,"인천광역시","미추홀구"
43.3,"인천남동",2,8,56.9,"인천광역시","남동구"
40.9,"인천동구",1,5,7.05,"인천광역시","동구"
44.1,"인천부평",2,6,32,"인천광역시","부평구"
48.9,"인천서구",1,4,137.05,"인천광역시","서구"
45.1,"인천연수",1,8,33.76,"인천광역시","연수구"
42.5,"인천옹진",0,8,164.3,"인천광역시","옹진군"
43.2,"인천중구",1,7,110.6,"인천광역시","중구"
46.3,"광주광산",2,19,222.88,"광주광역시","광산구"
57.2,"광주남구",2,21,61.07,"광주광역시","남구"
