,시도코드,시도명,시군구명,인당시설수,인당시설수순위,양호시설비율,주의필요시설비율,2019비만유병률_표준화율 (%),2019걷기실천율_표준화율 (%),2019스트레스인지율_표준화율 (%),2019연간체중조절시도율_표준화율 (%),2019중증도이상신체활동실천율_표준화율 (%),주거지역,상업지역,공업지역,녹지지역,수도권여부,y,grade
0,11010,서울특별시,종로구,0.000158,104.0,0.9827586206896552,0.0172413793103448,32.6,47.0,27.7,64.0,21.5,41.01,12.25,0.0,46.74,비수도권,69.7,A
1,11020,서울특별시,중구,0.000264,74.6,0.9534883720930232,0.0465116279069767,28.6,65.6,22.8,65.4,28.0,60.53,39.22,0.0,0.25,비수도권,69.2,A
2,11030,서울특별시,용산구,7.8e-05,134.4,0.9791666666666666,0.0208333333333333,25.4,69.1,16.3,75.8,27.9,52.24,7.12,0.0,40.64,비수도권,71.6,A
3,11040,서울특별시,성동구,8.3e-05,134.8,0.9166666666666666,0.0833333333333333,30.7,62.1,32.6,68.9,28.2,59.2,2.82,12.21,25.78,비수도권,65.3,A
4,11050,서울특별시,광진구,0.000104,126.9,0.9245283018867924,0.0754716981132075,29.1,59.5,27.3,72.1,29.1,67.93,1.18,0.0,30.89,비수도권,60.4,A
5,11060,서울특별시,동대문구,0.00011,123.0,0.8620689655172413,0.1379310344827586,35.0,51.0,32.5,64.5,22.1,91.5,5.81,0.0,2.69,비수도권,59.7,A
6,11070,서울특별시,중랑구,9.4e-05,145.7,0.8873239436619719,0.1126760563380281,36.3,62.8,26.8,64.9,29.5,58.4,1.93,0.0,39.67,비수도권,54.6,B
7,11080,서울특별시,성북구,9.1e-05,133.2,0.9242424242424242,0.0757575757575757,31.2,58.6,30.0,65.7,21.5,72.26,1.61,0.0,26.13,비수도권,54.9,B
8,11090,서울특별시,강북구,8.999999999999999e-05,150.0,0.92,0.08,29.1,57.7,27.0,64.8,17.9,46.11,1.15,0.0,52.74,비수도권,59.6,A
9,11100,서울특별시,도봉구,0.000104,150.5,0.98,0.02,35.4,55.5,29.0,69.9,22.8,41.8,1.29,7.07,49.84,비수도권,55.2,A
10,11110,서울특별시,노원구,9.3e-05,144.1,0.89,0.11,34.6,63.6,21.1,59.9,25.8,39.18,1.67,0.0,59.15,비수도권,65.3,A
11,11120,서울특별시,은평구,8.999999999999999e-05,149.1,0.9322033898305084,0.0677966101694915,31.7,66.3,28.3,73.5,25.1,51.62,1.71,0.0,46.67,비수도권,54.5,B
12,11130,서울특별시,서대문구,8.999999999999999e-05,142.6,0.925925925925926,0.074074074074074,31.4,51.8,28.5,70.6,23.3,87.3,1.6,0.0,11.1,비수도권,65.3,A
13,11140,서울특별시,마포구,0.000116,131.0,0.8,0.2,28.9,59.8,30.8,74.4,19.2,56.04,3.94,0.0,40.03,비수도권,67.7,A
14,11150,서울특별시,양천구,8.8e-05,122.7,0.88,0.12,34.6,64.0,28.5,68.6,23.2,71.76,4.56,0.53,23.14,비수도권,63.2,A
15,11160,서울특별시,강서구,0.000117,120.6,0.9375,0.0625,30.7,56.6,29.9,67.9,23.5,35.5,3.19,7.04,54.27,비수도권,57.2,A
16,11170,서울특별시,구로구,0.000115,116.6,0.8623853211009175,0.1376146788990825,32.2,61.0,26.0,68.3,16.2,51.0,2.55,20.84,25.61,비수도권,55.5,A
17,11180,서울특별시,금천구,0.000134,121.7,0.9523809523809524,0.0476190476190476,34.1,62.1,25.4,66.9,24.9,44.92,1.15,31.68,22.25,비수도권,53.6,B
18,11190,서울특별시,영등포구,0.000203,88.1,0.9176470588235294,0.0823529411764705,33.9,71.5,28.5,72.3,24.8,32.89,10.72,20.63,35.76,비수도권,49.4,B
19,11200,서울특별시,동작구,8.3e-05,146.0,0.8656716417910447,0.1343283582089552,29.6,66.6,23.1,70.6,24.7,84.15,2.1,0.0,13.74,비수도권,61.6,A
20,11210,서울특별시,관악구,7.8e-05,153.7,1.0,0.0,35.1,61.2,27.7,68.7,17.3,51.83,1.34,0.0,46.83,비수도권,60.7,A
21,11220,서울특별시,서초구,0.000198,81.8,0.25,0.75,25.0,56.5,28.3,76.8,26.7,40.28,2.81,0.0,56.9,비수도권,69.0,A
22,11230,서울특별시,강남구,0.000275,89.0,0.9552238805970148,0.044776119402985,29.0,57.5,30.0,72.9,23.0,61.24,4.25,0.0,34.51,비수도권,61.1,A
23,11240,서울특별시,송파구,0.000117,116.7,0.912,0.088,27.4,73.0,23.5,73.1,23.1,63.27,6.98,0.0,29.75,비수도권,61.3,A
24,11250,서울특별시,강동구,0.000135,110.0,0.9550561797752808,0.0449438202247191,30.0,53.7,23.1,71.2,26.7,52.8,2.77,0.0,44.43,비수도권,56.4,A
25,21010,부산광역시,중구,0.000148,129.9,1.0,0.0,34.4,52.8,23.7,65.4,22.0,20.05,42.16,4.28,8.8,비수도권,53.4,B
26,21020,부산광역시,서구,0.00012,130.2,0.925925925925926,0.074074074074074,29.9,66.7,20.3,59.0,34.6,14.92,3.76,2.97,27.29,비수도권,54.4,B
27,21030,부산광역시,동구,0.000146,136.0,0.9791666666666666,0.0208333333333333,33.6,59.6,23.3,63.7,25.4,21.75,21.52,14.85,26.66,비수도권,50.9,B
28,21040,부산광역시,영도구,9.7e-05,146.0,0.875,0.125,34.6,46.6,20.7,64.5,15.9,8.57,1.42,3.23,13.54,비수도권,53.7,B
29,21050,부산광역시,부산진구,8.999999999999999e-05,147.7,0.9906542056074766,0.0093457943925233,31.7,52.0,28.1,65.4,19.8,37.32,16.32,0.0,46.37,비수도권,53.3,B
