"행정구역코드","year","region","수도권여부","y","grade"
11,2008,"서울특별시","수도권",51,"B"
11,2009,"서울특별시","수도권",49.6,"C"
11,2010,"서울특별시","수도권",49.4,"C"
11,2011,"서울특별시","수도권",46.1,"C"
11,2012,"서울특별시","수도권",46.1,"C"
11,2013,"서울특별시","수도권",45.9,"C"
11,2014,"서울특별시","수도권",46.2,"C"
11,2015,"서울특별시","수도권",47.5,"C"
11,2016,"서울특별시","수도권",46.9,"C"
11,2017,"서울특별시","수도권",48.1,"C"
11,2018,"서울특별시","수도권",45.8,"C"
11,2019,"서울특별시","수도권",44.5,"D"
11,2020,"서울특별시","수도권",60.2,"A"
11,2021,"서울특별시","수도권",52.9,"B"
21,2008,"부산광역시","비수도권",48.3,"C"
21,2009,"부산광역시","비수도권",48.6,"C"
21,2010,"부산광역시","비수도권",48.6,"C"
21,2011,"부산광역시","비수도권",46.5,"C"
21,2012,"부산광역시","비수도권",45.1,"C"
21,2013,"부산광역시","비수도권",44.7,"D"
21,2014,"부산광역시","비수도권",42.6,"D"
21,2015,"부산광역시","비수도권",44.7,"D"
21,2016,"부산광역시","비수도권",43.3,"D"
21,2017,"부산광역시","비수도권",42.8,"D"
21,2018,"부산광역시","비수도권",40.4,"D"
21,2019,"부산광역시","비수도권",40.4,"D"
21,2020,"부산광역시","비수도권",54.1,"B"
21,2021,"부산광역시","비수도권",46.9,"C"
22,2008,"대구광역시","비수도권",46.4,"C"
22,2009,"대구광역시","비수도권",43.9,"D"
22,2010,"대구광역시","비수도권",44.4,"D"
22,2011,"대구광역시","비수도권",43.9,"D"
22,2012,"대구광역시","비수도권",45.4,"C"
22,2013,"대구광역시","비수도권",45,"C"
22,2014,"대구광역시","비수도권",41.3,"D"
22,2015,"대구광역시","비수도권",40.4,"D"
22,2016,"대구광역시","비수도권",42.4,"D"
22,2017,"대구광역시","비수도권",41.9,"D"
22,2018,"대구광역시","비수도권",40.5,"D"
22,2019,"대구광역시","비수도권",41.6,"D"
22,2020,"대구광역시","비수도권",57.7,"A"
22,2021,"대구광역시","비수도권",47.4,"C"
