"행정구역코드","year","region","수도권여부","y","grade"
11230,2008,"강남구","비수도권",63.4,"A"
11230,2009,"강남구","비수도권",58.8,"A"
11230,2010,"강남구","비수도권",64.3,"A"
11230,2011,"강남구","비수도권",55.8,"A"
11230,2012,"강남구","비수도권",58.8,"A"
11230,2013,"강남구","비수도권",50.5,"B"
11230,2014,"강남구","비수도권",50.5,"B"
11230,2015,"강남구","비수도권",48.7,"B"
11230,2016,"강남구","비수도권",54.3,"B"
11230,2017,"강남구","비수도권",56.3,"A"
11230,2018,"강남구","비수도권",42.8,"C"
11230,2019,"강남구","비수도권",48,"B"
11230,2020,"강남구","비수도권",61.1,"A"
11230,2021,"강남구","비수도권",58.3,"A"
11250,2008,"강동구","비수도권",41.1,"C"
11250,2009,"강동구","비수도권",42.3,"C"
11250,2010,"강동구","비수도권",45.9,"B"
11250,2011,"강동구","비수도권",55.3,"A"
11250,2012,"강동구","비수도권",44.9,"C"
11250,2013,"강동구","비수도권",47.3,"B"
11250,2014,"강동구","비수도권",44.8,"C"
11250,2015,"강동구","비수도권",48.5,"B"
11250,2016,"강동구","비수도권",44.8,"C"
11250,2017,"강동구","비수도권",52,"B"
11250,2018,"강동구","비수도권",55.6,"A"
11250,2019,"강동구","비수도권",51.8,"B"
11250,2020,"강동구","비수도권",56.4,"A"
11250,2021,"강동구","비수도권",55.4,"A"
11090,2008,"강북구","비수도권",49.2,"B"
11090,2009,"강북구","비수도권",50.7,"B"
11090,2010,"강북구","비수도권",46.1,"B"
11090,2011,"강북구","비수도권",45.4,"B"
11090,2012,"강북구","비수도권",40.9,"C"
11090,2013,"강북구","비수도권",37.1,"D"
11090,2014,"강북구","비수도권",41,"C"
11090,2015,"강북구","비수도권",48,"B"
11090,2016,"강북구","비수도권",43,"C"
11090,2017,"강북구","비수도권",38.6,"D"
11090,2018,"강북구","비수도권",40.4,"C"
11090,2019,"강북구","비수도권",42.1,"C"
11090,2020,"강북구","비수도권",59.6,"A"
11090,2021,"강북구","비수도권",48.1,"B"
11160,2008,"강서구","비수도권",38.6,"D"
11160,2009,"강서구","비수도권",44.6,"C"
11160,2010,"강서구","비수도권",50.5,"B"
11160,2011,"강서구","비수도권",45.8,"B"
11160,2012,"강서구","비수도권",54.2,"B"
11160,2013,"강서구","비수도권",45.9,"B"
11160,2014,"강서구","비수도권",43.4,"C"
11160,2015,"강서구","비수도권",43.1,"C"
11160,2016,"강서구","비수도권",46.5,"B"
11160,2017,"강서구","비수도권",40.8,"C"
11160,2018,"강서구","비수도권",34.1,"D"
11160,2019,"강서구","비수도권",43.9,"C"
11160,2020,"강서구","비수도권",57.2,"A"
11160,2021,"강서구","비수도권",55.5,"A"
11210,2008,"관악구","비수도권",49.5,"B"
11210,2009,"관악구","비수도권",40.4,"C"
11210,2010,"관악구","비수도권",46.6,"B"
11210,2011,"관악구","비수도권",43.2,"C"
11210,2012,"관악구","비수도권",44,"C"
11210,2013,"관악구","비수도권",41.7,"C"
11210,2014,"관악구","비수도권",43.2,"C"
11210,2015,"관악구","비수도권",45.1,"B"
11210,2016,"관악구","비수도권",41.8,"C"
11210,2017,"관악구","비수도권",55.8,"A"
11210,2018,"관악구","비수도권",48.6,"B"
11210,2019,"관악구","비수도권",40.3,"C"
11210,2020,"관악구","비수도권",60.7,"A"
11210,2021,"관악구","비수도권",52.3,"B"
11050,2008,"광진구","비수도권",50.7,"B"
11050,2009,"광진구","비수도권",49.3,"B"
11050,2010,"광진구","비수도권",44.3,"C"
11050,2011,"광진구","비수도권",48.4,"B"
11050,2012,"광진구","비수도권",50.5,"B"
11050,2013,"광진구","비수도권",46.2,"B"
11050,2014,"광진구","비수도권",64.2,"A"
11050,2015,"광진구","비수도권",48.2,"B"
11050,2016,"광진구","비수도권",42.6,"C"
11050,2017,"광진구","비수도권",49.5,"B"
11050,2018,"광진구","비수도권",46,"B"
11050,2019,"광진구","비수도권",45.3,"B"
11050,2020,"광진구","비수도권",60.4,"A"
11050,2021,"광진구","비수도권",54.1,"B"
11170,2008,"구로구","비수도권",48.1,"B"
11170,2009,"구로구","비수도권",39.4,"D"
11170,2010,"구로구","비수도권",46.9,"B"
11170,2011,"구로구","비수도권",44.4,"C"
11170,2012,"구로구","비수도권",45.4,"B"
11170,2013,"구로구","비수도권",44.5,"C"
11170,2014,"구로구","비수도권",44.1,"C"
11170,2015,"구로구","비수도권",43.6,"C"
11170,2016,"구로구","비수도권",41.1,"C"
11170,2017,"구로구","비수도권",42.4,"C"
11170,2018,"구로구","비수도권",44.9,"C"
11170,2019,"구로구","비수도권",38.9,"D"
11170,2020,"구로구","비수도권",55.5,"A"
11170,2021,"구로구","비수도권",49.4,"B"
11180,2008,"금천구","비수도권",50.3,"B"
11180,2009,"금천구","비수도권",55.1,"A"
11180,2010,"금천구","비수도권",51.9,"B"
11180,2011,"금천구","비수도권",39.3,"D"
11180,2012,"금천구","비수도권",37.1,"D"
11180,2013,"금천구","비수도권",41.9,"C"
11180,2014,"금천구","비수도권",42.4,"C"
11180,2015,"금천구","비수도권",38.7,"D"
11180,2016,"금천구","비수도권",42.5,"C"
11180,2017,"금천구","비수도권",42.3,"C"
11180,2018,"금천구","비수도권",46.2,"B"
11180,2019,"금천구","비수도권",41.9,"C"
11180,2020,"금천구","비수도권",53.6,"B"
11180,2021,"금천구","비수도권",40.3,"C"
11110,2008,"노원구","비수도권",39.9,"D"
11110,2009,"노원구","비수도권",44,"C"
11110,2010,"노원구","비수도권",43.2,"C"
11110,2011,"노원구","비수도권",39.9,"D"
11110,2012,"노원구","비수도권",44.5,"C"
11110,2013,"노원구","비수도권",42.8,"C"
11110,2014,"노원구","비수도권",42.6,"C"
11110,2015,"노원구","비수도권",48.8,"B"
11110,2016,"노원구","비수도권",46.5,"B"
11110,2017,"노원구","비수도권",43.7,"C"
11110,2018,"노원구","비수도권",41,"C"
11110,2019,"노원구","비수도권",41.7,"C"
11110,2020,"노원구","비수도권",65.3,"A"
11110,2021,"노원구","비수도권",59.9,"A"
11100,2008,"도봉구","비수도권",64.5,"A"
11100,2009,"도봉구","비수도권",45.3,"B"
11100,2010,"도봉구","비수도권",43.8,"C"
11100,2011,"도봉구","비수도권",44.4,"C"
11100,2012,"도봉구","비수도권",45.3,"B"
11100,2013,"도봉구","비수도권",44.5,"C"
11100,2014,"도봉구","비수도권",41.9,"C"
11100,2015,"도봉구","비수도권",45.3,"B"
11100,2016,"도봉구","비수도권",38.9,"D"
11100,2017,"도봉구","비수도권",40.5,"C"
11100,2018,"도봉구","비수도권",34.1,"D"
11100,2019,"도봉구","비수도권",40.5,"C"
11100,2020,"도봉구","비수도권",55.2,"A"
11100,2021,"도봉구","비수도권",46.7,"B"
11060,2008,"동대문구","비수도권",50.1,"B"
11060,2009,"동대문구","비수도권",47.9,"B"
11060,2010,"동대문구","비수도권",49.4,"B"
11060,2011,"동대문구","비수도권",44.6,"C"
11060,2012,"동대문구","비수도권",47.1,"B"
11060,2013,"동대문구","비수도권",45,"B"
11060,2014,"동대문구","비수도권",45.7,"B"
11060,2015,"동대문구","비수도권",47.4,"B"
11060,2016,"동대문구","비수도권",45.8,"B"
11060,2017,"동대문구","비수도권",41.9,"C"
11060,2018,"동대문구","비수도권",35.8,"D"
11060,2019,"동대문구","비수도권",39.4,"D"
11060,2020,"동대문구","비수도권",59.7,"A"
11060,2021,"동대문구","비수도권",43.6,"C"
11200,2008,"동작구","비수도권",46.7,"B"
